facet_id,facet_name,category,subcategory,description,inferability,evidence_type
282,Collectedness,General,,Measures indications or behaviors related to Collectedness.,medium,behavioral
283,Reliance on context,General,,Measures indications or behaviors related to Reliance on context.,medium,behavioral
284,Delegation skills,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
285,I Ching hexagram 49 resonance level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
286,Managing emotions,General,,Measures indications or behaviors related to Managing emotions.,medium,behavioral
287,Scripture memorization verses,General,,Measures indications or behaviors related to Scripture memorization verses.,medium,behavioral
288,Conventional,General,,Measures indications or behaviors related to Conventional.,medium,behavioral
289,Hindu spiritual metric: Bhagavad-Gita study hours,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
290,Open-source contributions,General,,Measures indications or behaviors related to Open-source contributions.,medium,behavioral
291,Psychological construct: Social Conformity tendency,General,,Measures indications or behaviors related to Psychological construct: Social Conformity tendency.,medium,behavioral
292,Individuality,General,,Measures indications or behaviors related to Individuality.,medium,behavioral
293,I Ching hexagram 22 resonance level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
294,Attachment style: Secure,General,,Measures indications or behaviors related to Attachment style: Secure.,medium,behavioral
295,Intelligence Quotient (IQ),Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
296,Blog-subscriber count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
297,Non-Verbal Communication Skills,General,,Measures indications or behaviors related to Non-Verbal Communication Skills.,medium,behavioral
298,Drug-use history,General,,Measures indications or behaviors related to Drug-use history.,medium,behavioral
299,Commute time/day,General,,Measures indications or behaviors related to Commute time/day.,medium,behavioral
300,Decision-making speed,General,,Measures indications or behaviors related to Decision-making speed.,medium,behavioral
301,Psychological construct: Excuse-Making tendency,General,,Measures indications or behaviors related to Psychological construct: Excuse-Making tendency.,medium,behavioral
302,Peer-to-peer lending usage,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
303,Psychological construct: Eye-Contact avoidance score,General,,Measures indications or behaviors related to Psychological construct: Eye-Contact avoidance score.,medium,behavioral
304,Social-cognition variable: Faux Pas Recognition accuracy,General,,Measures indications or behaviors related to Social-cognition variable: Faux Pas Recognition accuracy.,medium,behavioral
305,Conscientiousness (C),General,,Measures indications or behaviors related to Conscientiousness (C).,medium,behavioral
306,Use of Nature as a Stress Reliever,General,,Measures indications or behaviors related to Use of Nature as a Stress Reliever.,medium,behavioral
307,Attitude toward learning,General,,Measures indications or behaviors related to Attitude toward learning.,medium,behavioral
308,Conscientiousness Facets,General,,Measures indications or behaviors related to Conscientiousness Facets.,medium,behavioral
309,Honesty-humility trait score,General,,Measures indications or behaviors related to Honesty-humility trait score.,medium,behavioral
310,Digital-nomad months,General,,Measures indications or behaviors related to Digital-nomad months.,medium,behavioral
311,Religious coping – Negative,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
312,Snacking Behavior,General,,Measures indications or behaviors related to Snacking Behavior.,medium,behavioral
313,Aura-color perception,General,,Measures indications or behaviors related to Aura-color perception.,medium,behavioral
314,Sacred text engagement: Zohar (Kabbalah) study hours,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
315,Motivational Drivers,General,,Measures indications or behaviors related to Motivational Drivers.,medium,behavioral
316,Cloud-backup frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
317,Learning Style,General,,Measures indications or behaviors related to Learning Style.,medium,behavioral
318,Islamic practice: Seerah study hours,General,,Measures indications or behaviors related to Islamic practice: Seerah study hours.,medium,behavioral
319,Safety compliance,General,,Measures indications or behaviors related to Safety compliance.,medium,behavioral
320,Sensationalism,General,,Measures indications or behaviors related to Sensationalism.,medium,behavioral
321,Nationality,General,,Measures indications or behaviors related to Nationality.,medium,behavioral
322,Drollness,General,,Measures indications or behaviors related to Drollness.,medium,behavioral
323,Cooperation,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
324,Breakfast-skipping frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
325,Sikh spiritual metric: Kirtan participation frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
326,Impulsivity,General,,Measures indications or behaviors related to Impulsivity.,medium,behavioral
327,Museum visits/year,General,,Measures indications or behaviors related to Museum visits/year.,medium,behavioral
328,Choir participation years,General,,Measures indications or behaviors related to Choir participation years.,medium,behavioral
329,Delegation Ability,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
330,Kabbalah sephira balance: Tiferet,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
331,Desire to influence others,General,,Measures indications or behaviors related to Desire to influence others.,medium,behavioral
332,Vivacity,General,,Measures indications or behaviors related to Vivacity.,medium,behavioral
333,Genialness,General,,Measures indications or behaviors related to Genialness.,medium,behavioral
334,Cognitive measure: Working Memory Index,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
335,Ethical practices,General,,Measures indications or behaviors related to Ethical practices.,medium,behavioral
336,New-Age spiritual metric: Channeling sessions / year,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
337,Civility,General,,Measures indications or behaviors related to Civility.,medium,behavioral
338,Sleep Apnea,General,,Measures indications or behaviors related to Sleep Apnea.,medium,behavioral
339,Classiness,General,,Measures indications or behaviors related to Classiness.,medium,behavioral
340,Control over situations,General,,Measures indications or behaviors related to Control over situations.,medium,behavioral
341,Time outdoors/day (h),General,,Measures indications or behaviors related to Time outdoors/day (h).,medium,behavioral
342,Effeteness,General,,Measures indications or behaviors related to Effeteness.,medium,behavioral
343,Polygenic risk: cardiovascular disease,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
344,Psychological construct: Identity Diffusion level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
345,Learning through movement,General,,Measures indications or behaviors related to Learning through movement.,medium,behavioral
346,Caffeine sensitivity gene,General,,Measures indications or behaviors related to Caffeine sensitivity gene.,medium,behavioral
347,Hatefulness,General,,Measures indications or behaviors related to Hatefulness.,medium,behavioral
348,Persistence,General,,Measures indications or behaviors related to Persistence.,medium,behavioral
349,Psychological construct: Perfectionistic Strivings,General,,Measures indications or behaviors related to Psychological construct: Perfectionistic Strivings.,medium,behavioral
350,Wake-time consistency,General,,Measures indications or behaviors related to Wake-time consistency.,medium,behavioral
351,Numerical Reasoning,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
352,Social-cognition variable: Mentalizing network activation,General,,Measures indications or behaviors related to Social-cognition variable: Mentalizing network activation.,medium,behavioral
353,Patriotism,General,,Measures indications or behaviors related to Patriotism.,medium,behavioral
354,Leadership Styles,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
355,Servility,General,,Measures indications or behaviors related to Servility.,medium,behavioral
356,I Ching hexagram 24 resonance level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
357,Enneagram Personality Types,General,,Measures indications or behaviors related to Enneagram Personality Types.,medium,behavioral
358,Stress Recovery Ability,General,,Measures indications or behaviors related to Stress Recovery Ability.,medium,behavioral
359,Troubleshooting technical issues,General,,Measures indications or behaviors related to Troubleshooting technical issues.,medium,behavioral
360,Defense-mechanism tendency: Introjection,General,,Measures indications or behaviors related to Defense-mechanism tendency: Introjection.,medium,behavioral
361,Irritability,General,,Measures indications or behaviors related to Irritability.,medium,behavioral
362,Travel-companions diversity,General,,Measures indications or behaviors related to Travel-companions diversity.,medium,behavioral
363,Sacred text engagement: Quran surahs memorized,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
364,Trust in others,General,,Measures indications or behaviors related to Trust in others.,medium,behavioral
365,Gamified-finance-app usage,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
366,Buddhist practice: Eightfold Path – Right Intention level,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
367,Caffeine intake (mg/day),General,,Measures indications or behaviors related to Caffeine intake (mg/day).,medium,behavioral
368,Comfort with Vulnerability,General,,Measures indications or behaviors related to Comfort with Vulnerability.,medium,behavioral
369,Anticipativeness,General,,Measures indications or behaviors related to Anticipativeness.,medium,behavioral
370,Additional Common Parameters and Their End Points,General,,Measures indications or behaviors related to Additional Common Parameters and Their End Points.,medium,behavioral
371,Avoiding,General,,Measures indications or behaviors related to Avoiding.,medium,behavioral
372,Home-security-system presence,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
373,HEXACO domain: Honesty-Humility,General,,Measures indications or behaviors related to HEXACO domain: Honesty-Humility.,medium,behavioral
374,Eating Habits (Home-Cooked vs. Eating Out),General,,Measures indications or behaviors related to Eating Habits (Home-Cooked vs. Eating Out).,medium,behavioral
375,Decision-Making Confidence,General,,Measures indications or behaviors related to Decision-Making Confidence.,medium,behavioral
376,Alignment with societal roles,General,,Measures indications or behaviors related to Alignment with societal roles.,medium,behavioral
377,Connectedness: Belief in interconnections,General,,Measures indications or behaviors related to Connectedness: Belief in interconnections.,medium,behavioral
378,Quirkiness,General,,Measures indications or behaviors related to Quirkiness.,medium,behavioral
379,Creative resilience,General,,Measures indications or behaviors related to Creative resilience.,medium,behavioral
380,Rapid cognitive processing,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
381,Cordiality,General,,Measures indications or behaviors related to Cordiality.,medium,behavioral
382,Types of Mindfulness Techniques Used,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
383,Economic reasoning,General,,Measures indications or behaviors related to Economic reasoning.,medium,behavioral
384,Conformity,General,,Measures indications or behaviors related to Conformity.,medium,behavioral
385,Pet-enrichment activities count,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
386,Aestheticism,General,,Measures indications or behaviors related to Aestheticism.,medium,behavioral
387,Type of Support Preferred (Emotional vs. Practical),General,,Measures indications or behaviors related to Type of Support Preferred (Emotional vs. Practical).,medium,behavioral
388,Mental Arithmetic Speed,General,,Measures indications or behaviors related to Mental Arithmetic Speed.,medium,behavioral
389,Patience: Resistance to anger,General,,Measures indications or behaviors related to Patience: Resistance to anger.,medium,behavioral
390,Flawlessness,General,,Measures indications or behaviors related to Flawlessness.,medium,behavioral
391,Self-Efficacy,General,,Measures indications or behaviors related to Self-Efficacy.,medium,behavioral
392,Computer Skills,General,,Measures indications or behaviors related to Computer Skills.,medium,behavioral
393,Jewish spiritual metric: Shabbat candle-lighting consistency,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
394,Spelling Accuracy,General,,Measures indications or behaviors related to Spelling Accuracy.,medium,behavioral
395,Sufi practice: Dhikr repetitions / day,Spiritual / Cultural,Religious Practices,Refers to religious or spiritual practices and participation; often self-reported and culture-specific.,low,self-report
396,Peacefulness,General,,Measures indications or behaviors related to Peacefulness.,medium,behavioral
397,Doggedness,General,,Measures indications or behaviors related to Doggedness.,medium,behavioral
398,Decency,General,,Measures indications or behaviors related to Decency.,medium,behavioral
399,Processed-food frequency,Physiological / Metadata,Physiological,Physiological or measured values that cannot be reliably inferred from conversation alone.,impossible,physiological
